Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date, Purchase Price ,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
Dannio - Drilling Bit [6mm x 50 x110mm],General,,,PIECES,19,Total,,, 250.00000 ,0,0,, 425.0000 ,19,,Fixed,
Dannio - Drilling Bit[6mm x 100 x 160mm],General,,,PIECES,38,Total,,, 250.00000 ,0,0,Exclusive, 425.0000 ,38,,Fixed,
Dannio - Drilling Bit[8mm x 100 x 160mm],General,,,PIECES,22,Total,,, 280.00000 ,0,0,Exclusive, 470.0000 ,22,,Fixed,
Dannio - Drilling Bit [10mm x 100 x 160mm],General,,,PIECES,20,Total,,, 350.00000 ,0,0,Exclusive, 575.0000 ,20,,Fixed,
Dannio - Drilling Bit [8mm x 150 x 210mm],General,,,PIECES,2,Total,,, 350.00000 ,0,0,Exclusive, 575.0000 ,2,,Fixed,
BWT-6203-2RS-Bearing,General,,,PIECES,10,Total,,, 400.00000 ,0,0,Exclusive, 650.0000 ,10,,Fixed,
Dannio - Drilling Bit [12mm x 100 x 160mm ,General,,,PIECES,20,Total,,, 400.00000 ,0,0,Exclusive, 650.0000 ,20,,Fixed,
SDS Plus Hammer Drill [12mm],General,,,PIECES,46,Total,,, 400.00000 ,0,0,Exclusive, 650.0000 ,46,,Fixed,
BWT-6204-2RS-Bearing,General,,,PIECES,10,Total,,, 450.00000 ,0,0,Exclusive, 725.0000 ,10,,Fixed,
C -Torch [10w],General,,,PIECES,2,Total,,, 450.00000 ,0,0,Exclusive, 725.0000 ,2,,Fixed,
Dannio -Drilling Bit [14mm x 100 x 160mm],General,,,PIECES,20,Total,,, 500.00000 ,0,0,Exclusive, 800.0000 ,20,,Fixed,
Inc -co Test Pencil 3 x 140mm ,General,,,PIECES,90,Total,,, 500.00000 ,0,0,Exclusive, 800.0000 ,90,,Fixed,
Total TCT Saw Blade [305mm] x 120T,General,,,PIECES,14,Total,,, 500.00000 ,0,0,Exclusive, 800.0000 ,14,,Fixed,
Total TCT Saw Blade 254 x 255mm [10''] x 40T,General,,,PIECES,25,Total,,, 500.00000 ,0,0,Exclusive, 800.0000 ,25,,Fixed,
BWT-6205-2RS-Bearing,General,,,PIECES,10,Total,,, 550.00000 ,0,0,Exclusive, 875.0000 ,10,,Fixed,
Total  Snap Off Blade Knife   (9mm X 80mm ),General,,,PIECES,2,Total,,, 600.00000 ,0,0,Exclusive, 950.0000 ,2,,Fixed,
BWT-6304-2RS-Bearing ,General,,,PIECES,10,Total,,, 650.00000 ,0,0,Exclusive," 1,025.0000 ",10,,Fixed,
