Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
NECTAFER-Z,MULTIVITAMIN,1111,HSN1,BOX,5,Brand 1,11,01-01-2019,800,Tax 5%,5,Inclusive,1100,0,BAR123,Percentage,10
ASTYFER SYRUP,MULTIVITAMIN,2222,HSN2,BOX,5,Brand 2,11,01-01-2019,1800,Tax 5%,5,Exclusive,2000,67,BAR125,Fixed,5
ASTYMIN SYRUP,MULTIVITAMIN,3333,HSN3,BOX,5,Brand 3,11,01-01-2019,1800,Tax 5%,5,Exclusive,2000,47,BAR126,Percentage,10
LIQUID IRON,MULTIVITAMIN,4444,HSN4,BOX,5,Brand 4,11,01-01-2019,400,Tax 5%,5,Exclusive,450,37,BAR127,Fixed,5
RANFERON-12  100ML,MULTIVITAMIN,5555,HSN5,BOX,5,Brand 5,11,01-01-2019,300,Tax 5%,5,Exclusive,350,7,BAR128,Percentage,10
RANFERON-12   200ML,MULTIVITAMIN,,,BOX,5,Brand 6,11,02-01-2019,500,Tax 5%,5,Exclusive,600,20,,,
COMBIART BY 24,ANTIMALARIA,,,BOX,5,Brand 7,11,03-01-2019,333.33333,Tax 5%,5,Exclusive,600,0,,,
COMBISUNATE BY 18,ANTIMALARIA,,,BOX,5,Brand 8,11,04-01-2019,0,Tax 5%,5,Exclusive,400,0,,,
SYNRIAM,ANTI-MALARIA,,,BOX,5,Brand 9,11,05-01-2019,1900,Tax 5%,5,Exclusive,2300,-5,,,
LUMARTEM BY 12,ANTI-MALARIA,,,BOX,5,Brand 10,11,06-01-2019,0,Tax 5%,5,Exclusive,400,-38,,,
COMBIART BY 6,ANTI-MALARIA,,,BOX,5,Brand 11,11,07-01-2019,0,Tax 5%,5,Exclusive,150,0,,,
LA - TESEN,ANTI-MALARIA,,,BOX,5,Brand 12,11,08-01-2019,0,Tax 5%,5,Exclusive,0,0,,,
AMATEM SOFT GEL BY 24,ANTI-MALARIA,,,BOX,5,Brand 13,11,09-01-2019,1000,Tax 5%,5,Exclusive,1200,34,,,
